ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12582890,JF101246,01/01/2022 12:00:00 AM,062XX N ALBANY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2413,024,50,2,07,1154560,1941176,2022,10/11/2022 04:45:59 PM,41.994410093,-87.706818434,"(41.994410093, -87.706818434)"
12583742,JF102453,01/01/2022 12:00:00 AM,045XX S ROCKWELL ST,0810,THEFT,OVER $500,APARTMENT,false,false,0922,009,15,58,06,1159793,1874504,2022,10/11/2022 04:45:59 PM,41.811350067,-87.689409993,"(41.811350067, -87.689409993)"
12658444,JF193049,01/01/2022 12:00:00 AM,011XX N WESTERN AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,SCHOOL - PUBLIC BUILDING,false,false,1212,012,1,24,17,1160197,1907701,2022,10/25/2022 04:46:49 PM,41.902437713,-87.687011559,"(41.902437713, -87.687011559)"
12598249,JF119825,01/01/2022 12:00:00 AM,003XX N CALIFORNIA AVE,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,1222,012,27,27,06,1157670,1902069,2022,10/25/2022 04:46:49 PM,41.887034873,-87.696447217,"(41.887034873, -87.696447217)"
12666203,JF201943,01/01/2022 12:00:00 AM,050XX W WASHINGTON BLVD,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,false,false,1532,015,28,25,11,1142785,1900034,2022,10/25/2022 04:46:49 PM,41.881740731,-87.751160325,"(41.881740731, -87.751160325)"
12656219,JF190469,01/01/2022 12:00:00 AM,043XX W CARROLL AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1114,011,28,26,08A,1147293,1901943,2022,10/25/2022 04:46:49 PM,41.886894135,-87.734557975,"(41.886894135, -87.734557975)"
12677514,JF216088,01/01/2022 12:00:00 AM,054XX N KENMORE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),false,false,2023,020,48,77,14,1168271,1936212,2022,10/25/2022 04:46:49 PM,41.980502422,-87.656527714,"(41.980502422, -87.656527714)"
12669676,JF206693,01/01/2022 12:00:00 AM,037XX N HALSTED ST,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1923,019,46,6,06,1170244,1925277,2022,10/25/2022 04:46:49 PM,41.950453457,-87.649592688,"(41.950453457, -87.649592688)"
12678487,JF217279,01/01/2022 12:00:00 AM,029XX W JACKSON BLVD,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,1124,011,27,27,17,1156632,1898547,2022,10/25/2022 04:46:49 PM,41.877391241,-87.700354449,"(41.877391241, -87.700354449)"
12701677,JF245883,01/01/2022 12:00:00 AM,027XX W GRANVILLE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,2413,024,40,2,26,1157125,1941047,2022,10/25/2022 04:46:49 PM,41.994004228,-87.697386718,"(41.994004228, -87.697386718)"
12700296,JF239394,01/01/2022 12:00:00 AM,022XX N KEDZIE BLVD,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,NURSING / RETIREMENT HOME,false,false,1413,014,32,22,11,1154662,1914966,2022,10/25/2022 04:46:49 PM,41.922486131,-87.707147749,"(41.922486131, -87.707147749)"
12707741,JF253053,01/01/2022 12:00:00 AM,087XX S ABERDEEN ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,2222,022,21,71,26,1170513,1846801,2022,10/25/2022 04:46:49 PM,41.735102513,-87.650896028,"(41.735102513, -87.650896028)"
12691174,JF232629,01/01/2022 12:00:00 AM,057XX S RACINE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - PORCH / HALLWAY,false,false,0713,007,16,67,14,1169300,1866741,2022,10/25/2022 04:46:49 PM,41.789846764,-87.654763689,"(41.789846764, -87.654763689)"
12758148,JF313875,01/01/2022 12:00:00 AM,096XX S CHAPPEL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0431,004,7,51,11,1191535,1841265,2022,10/25/2022 04:46:49 PM,41.719427965,-87.574059924,"(41.719427965, -87.574059924)"
12584423,JF103226,01/01/2022 12:00:00 AM,068XX S PERRY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,false,false,0722,007,6,69,14,1176578,1859630,2022,10/11/2022 04:45:59 PM,41.770172698,-87.628291299,"(41.770172698, -87.628291299)"
12586516,JF105792,01/01/2022 12:00:00 AM,007XX W 81ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0622,006,21,71,14,1172912,1851164,2022,10/11/2022 04:45:59 PM,41.747022627,-87.641978681,"(41.747022627, -87.641978681)"
12584964,JF103834,01/01/2022 12:00:00 AM,070XX S SANGAMON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0733,007,6,68,14,1171190,1858171,2022,10/11/2022 04:45:59 PM,41.766288528,-87.648084026,"(41.766288528, -87.648084026)"
12585051,JF103190,01/01/2022 12:00:00 AM,020XX E 80TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0414,004,8,46,14,1191357,1852335,2022,10/11/2022 04:45:59 PM,41.749809396,-87.57435432,"(41.749809396, -87.57435432)"
12582215,JF100535,01/01/2022 12:00:00 AM,030XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1124,011,28,27,14,1155939,1898528,2022,10/11/2022 04:45:59 PM,41.877353099,-87.702899477,"(41.877353099, -87.702899477)"
12582739,JF100454,01/01/2022 12:00:00 AM,069XX S WOODLAWN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0321,003,5,69,08B,1185601,1859248,2022,10/11/2022 04:45:59 PM,41.768916724,-87.595229104,"(41.768916724, -87.595229104)"
12582422,JF100497,01/01/2022 12:00:00 AM,060XX W MELROSE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1633,016,30,17,14,1135509,1920979,2022,10/11/2022 04:45:59 PM,41.939348698,-87.777379535,"(41.939348698, -87.777379535)"
12583059,JF101544,01/01/2022 12:00:00 AM,020XX N KARLOV AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2525,025,26,20,06,1148721,1913242,2022,10/11/2022 04:45:59 PM,41.917872284,-87.729021632,"(41.917872284, -87.729021632)"
12582155,JF100452,01/01/2022 12:00:00 AM,083XX S OGLESBY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0412,004,8,46,14,1193296,1850002,2022,10/11/2022 04:45:59 PM,41.743360293,-87.567325238,"(41.743360293, -87.567325238)"
12583090,JF101073,01/01/2022 12:00:00 AM,006XX N DEARBORN ST,0870,THEFT,POCKET-PICKING,RESTAURANT,false,false,1832,018,42,8,06,1175825,1904582,2022,10/11/2022 04:45:59 PM,41.893541578,-87.629701805,"(41.893541578, -87.629701805)"
12583340,JF101772,01/01/2022 12:00:00 AM,090XX S LAFLIN ST,0810,THEFT,OVER $500,RESIDENCE,false,false,2222,022,21,73,06,1167922,1844748,2022,10/11/2022 04:45:59 PM,41.729524765,-87.660447195,"(41.729524765, -87.660447195)"
12582456,JF100747,01/01/2022 12:00:00 AM,073XX S LANGLEY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0323,003,6,69,14,1182162,1856593,2022,10/11/2022 04:45:59 PM,41.761711431,-87.607916742,"(41.761711431, -87.607916742)"
12582401,JF100696,01/01/2022 12:00:00 AM,001XX E ONTARIO ST,0810,THEFT,OVER $500,RESTAURANT,false,false,1834,018,42,8,06,1177137,1904514,2022,10/11/2022 04:45:59 PM,41.893325357,-87.624885406,"(41.893325357, -87.624885406)"
12582405,JF100738,01/01/2022 12:00:00 AM,062XX S HERMITAGE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0714,007,15,67,26,1165749,1863307,2022,10/11/2022 04:45:59 PM,41.780499607,-87.667881635,"(41.780499607, -87.667881635)"
12586330,JF104769,01/01/2022 12:00:00 AM,025XX W BELMONT AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,false,false,1921,019,47,5,11,1158986,1921174,2022,10/11/2022 04:45:59 PM,41.939433567,-87.691089128,"(41.939433567, -87.691089128)"
12583906,JF101818,01/01/2022 12:00:00 AM,022XX N Lincoln Ave,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1812,018,43,7,06,1171576,1915192,2022,10/11/2022 04:45:59 PM,41.922750548,-87.644994062,"(41.922750548, -87.644994062)"
12581875,JF100038,01/01/2022 12:00:00 AM,116XX S CHURCH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2212,022,34,75,14,1165215,1827231,2022,10/11/2022 04:45:59 PM,41.68151286,-87.670857348,"(41.68151286, -87.670857348)"
12589134,JF108209,01/01/2022 12:00:00 AM,009XX W WRIGHTWOOD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,1935,019,43,7,11,1169722,1917469,2022,10/11/2022 04:45:59 PM,41.929039384,-87.651739711,"(41.929039384, -87.651739711)"
12591964,JF112288,01/01/2022 12:00:00 AM,001XX S ASHLAND AVE,0810,THEFT,OVER $500,CONSTRUCTION SITE,false,false,1224,012,28,28,06,1165777,1899437,2022,10/11/2022 04:45:59 PM,41.87964349,-87.666751182,"(41.87964349, -87.666751182)"
12584013,JF102665,01/01/2022 12:00:00 AM,066XX S LOWE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0723,007,6,68,07,1173179,1860959,2022,10/11/2022 04:45:59 PM,41.773895414,-87.640711342,"(41.773895414, -87.640711342)"
12583061,JF101511,01/01/2022 12:00:00 AM,015XX W 87TH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE - YARD (FRONT / BACK),false,true,2221,022,21,71,04B,1167706,1847040,2022,10/11/2022 04:45:59 PM,41.735818981,-87.661172893,"(41.735818981, -87.661172893)"
12582404,JF100769,01/01/2022 12:00:00 AM,115XX S EGGLESTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0522,005,34,53,14,1175366,1828397,2022,10/11/2022 04:45:59 PM,41.684492347,-87.63366454,"(41.684492347, -87.63366454)"
12582294,JF100603,01/01/2022 12:00:00 AM,114XX S CHURCH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2212,022,34,75,14,1165854,1828891,2022,10/11/2022 04:45:59 PM,41.686054683,-87.668471357,"(41.686054683, -87.668471357)"
12585118,JF103982,01/01/2022 12:00:00 AM,071XX S WENTWORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0731,007,6,69,14,1176194,1857700,2022,10/11/2022 04:45:59 PM,41.764885191,-87.629756746,"(41.764885191, -87.629756746)"
12595291,JF116411,01/01/2022 12:00:00 AM,016XX S INDIANA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0132,001,3,33,26,1177923,1892301,2022,10/11/2022 04:45:59 PM,41.859794359,-87.622370293,"(41.859794359, -87.622370293)"
12582425,JF100731,01/01/2022 12:00:00 AM,002XX E HURON ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,1834,018,42,8,02,1178046,1905133,2022,10/11/2022 04:45:59 PM,41.895003278,-87.62152816,"(41.895003278, -87.62152816)"
12583708,JF102406,01/01/2022 12:00:00 AM,017XX N KEATING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2533,025,37,25,14,1144460,1911066,2022,10/11/2022 04:45:59 PM,41.911982438,-87.744731777,"(41.911982438, -87.744731777)"
12582635,JF100949,01/01/2022 12:00:00 AM,064XX S MARSHFIELD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0725,007,15,67,26,1166434,1861907,2022,10/11/2022 04:45:59 PM,41.776643254,-87.665410168,"(41.776643254, -87.665410168)"
12603842,JF126916,01/01/2022 12:00:00 AM,028XX S QUINN ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0913,009,11,60,11,1170065,1885706,2022,10/11/2022 04:45:59 PM,41.841872055,-87.651406813,"(41.841872055, -87.651406813)"
12597922,JF119484,01/01/2022 12:00:00 AM,012XX S KEELER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,false,false,1011,010,24,29,07,1148581,1894005,2022,10/11/2022 04:45:59 PM,41.865086588,-87.730032948,"(41.865086588, -87.730032948)"
12609579,JF133991,01/01/2022 12:00:00 AM,035XX W CERMAK RD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),false,true,1024,010,24,29,26,1152929,1889147,2022,10/11/2022 04:45:59 PM,41.851670717,-87.714199835,"(41.851670717, -87.714199835)"
12607743,JF131728,01/01/2022 12:00:00 AM,068XX W HOBART AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,1612,016,41,10,11,1129329,1937119,2022,10/11/2022 04:45:59 PM,41.983746329,-87.799723803,"(41.983746329, -87.799723803)"
